Time,Treatment number,InitialCover,InitialRichness,InitialNative,Recruits,Block,Nrecruits,NISRecruits
1,99,32,3,66.66666667,7,3,0,7
1,100,34,4,75,1,3,0,1
1,101,48,5,100,7,3,0,7
1,102,34,3,100,4,3,0,4
1,103,28,1,100,5,3,0,5
1,104,26,4,75,3,3,0,3
1,105,42,1,100,6,3,0,6
1,106,72,1,0,1,3,0,1
1,107,32,3,66.66666667,8,3,0,8
1,108,32,2,50,6,3,1,5
1,109,8,1,0,5,3,0,5
1,110,60,1,100,0,3,0,0
1,111,14,2,100,4,3,0,4
1,112,52,1,0,4,3,0,4
1,113,20,5,100,10,3,0,10
1,114,0,0,0,6,3,0,6
1,115,2,1,0,0,3,0,0
1,116,68,6,66.66666667,0,3,0,0
1,117,20,1,100,0,3,0,0
1,118,36,6,100,0,3,0,0
1,119,42,3,66.66666667,1,3,0,1
1,120,48,5,60,0,3,0,0
1,121,74,4,50,1,3,0,1
1,122,34,6,100,2,3,0,2
1,123,46,5,80,5,3,0,5
1,124,28,3,66.66666667,2,3,1,1
1,125,32,4,50,1,3,0,1
1,126,20,5,60,1,3,0,1
1,127,14,1,0,1,3,0,1
1,128,30,4,75,3,3,0,3
1,129,64,7,100,2,3,2,0
1,130,0,0,0,9,3,0,9
1,131,16,1,100,0,3,0,0
1,132,62,3,100,0,3,0,0
1,133,0,0,0,8,3,0,8
1,134,44,4,50,1,3,0,1
1,135,62,6,100,2,3,0,2
1,136,0,0,0,4,3,0,4
1,137,0,0,0,0,3,0,0
1,138,38,1,100,0,4,0,0
1,139,42,5,100,0,4,0,0
1,140,16,1,0,3,4,0,3
1,141,46,5,80,0,4,0,0
1,142,20,1,0,0,4,0,0
1,143,26,1,100,0,4,0,0
1,144,34,5,100,4,4,0,4
1,145,36,3,100,0,4,0,0
1,146,34,5,80,1,4,0,1
1,147,28,1,0,0,4,0,0
1,148,28,4,100,0,4,0,0
1,149,56,1,100,0,4,0,0
1,150,28,2,100,0,4,0,0
1,151,58,7,100,0,4,0,0
1,152,60,1,0,1,4,0,1
1,153,72,5,40,1,4,0,1
1,154,18,1,100,0,4,0,0
1,155,16,4,50,1,4,0,1
1,156,56,7,57.14285714,0,4,0,0
1,157,0,0,0,0,4,0,0
1,158,0,0,0,0,4,0,0
1,159,26,3,33.33333333,0,4,0,0
1,160,40,6,50,0,4,0,0
1,161,10,3,66.66666667,0,4,0,0
1,162,16,4,75,0,4,0,0
1,163,60,1,0,0,4,0,0
1,164,42,4,50,0,4,0,0
1,165,76,1,100,0,4,0,0
1,166,22,2,100,0,4,0,0
1,167,14,3,66.66666667,0,4,0,0
1,168,66,3,100,0,4,0,0
1,169,24,5,60,0,4,0,0
1,170,26,5,100,0,4,0,0
1,171,52,5,80,0,4,0,0
1,172,32,2,50,0,4,0,0
1,173,14,1,0,0,4,0,0
1,174,60,1,0,0,4,0,0
1,175,50,7,57.14285714,0,4,0,0
1,176,2,1,100,0,4,0,0
1,177,34,6,83.33333333,0,4,0,0
1,178,22,5,40,0,4,0,0
1,179,32,7,57.14285714,0,4,0,0
1,180,16,1,100,0,4,0,0
1,181,20,3,100,1,4,1,0
1,182,48,6,100,0,4,0,0
1,183,16,4,75,1,5,0,1
1,184,26,1,0,4,5,0,4
1,185,16,1,100,4,5,0,4
1,186,30,5,60,2,5,0,2
1,187,16,1,100,1,5,0,1
1,188,20,1,100,2,5,0,2
1,189,44,1,0,1,5,1,0
1,190,24,2,100,0,5,0,0
1,191,40,4,25,5,5,0,5
1,192,52,6,100,0,5,0,0
1,193,28,1,0,0,5,0,0
1,194,16,3,100,2,5,2,0
1,195,30,1,0,1,5,0,1
1,196,28,4,50,1,5,0,1
1,197,36,3,33.33333333,0,5,0,0
1,198,20,1,0,3,5,0,3
1,199,46,4,75,0,5,0,0
1,200,40,4,100,0,5,0,0
1,201,48,1,0,1,5,0,1
1,202,60,5,60,0,5,0,0
1,203,28,5,60,0,5,0,0
1,204,32,6,50,0,5,0,0
1,205,58,4,75,0,5,0,0
1,206,36,5,60,0,5,0,0
1,207,0,0,0,0,5,0,0
1,208,0,0,0,0,5,0,0
1,209,26,1,0,0,5,0,0
1,210,76,7,100,0,5,0,0
1,211,28,5,60,0,5,0,0
1,212,56,7,71.42857143,0,5,0,0
1,213,56,5,80,1,5,1,0
1,214,24,4,50,0,5,0,0
1,215,22,4,50,0,5,0,0
1,216,20,5,40,0,5,0,0
1,217,54,1,0,0,5,0,0
1,218,44,3,66.66666667,0,5,0,0
1,219,0,0,0,0,5,0,0
1,220,74,1,100,0,5,0,0
1,221,30,1,100,0,5,0,0
1,222,56,8,50,2,5,0,2
1,223,42,6,100,0,5,0,0
1,224,20,4,100,0,5,0,0
1,225,36,2,50,0,5,0,0
1,226,34,6,100,1,5,0,1
1,227,40,1,100,0,5,0,0
15,1,42,3,66.66666667,2,1,0,1
15,2,16,1,100,4,1,0,4
15,3,20,3,100,4,1,0,3
15,4,34,1,0,6,1,0,6
15,5,68,1,0,4,1,0,4
15,6,48,3,100,0,1,0,0
15,7,52,4,100,0,1,0,0
15,8,64,5,100,0,1,0,0
15,9,56,5,60,3,1,2,1
15,10,0,0,0,21,1,1,17
15,11,78,1,0,0,1,0,0
15,12,36,3,100,6,1,0,4
15,13,10,1,100,14,1,1,9
15,14,46,3,100,4,1,0,4
15,15,0,0,0,8,1,0,7
15,16,20,3,66.66666667,20,1,0,17
15,17,42,1,100,1,1,0,1
15,18,70,1,100,0,1,0,0
15,19,24,1,0,1,1,0,1
15,20,38,4,50,17,1,0,13
15,21,0,0,0,38,1,0,29
15,22,0,0,0,25,1,0,16
15,23,62,6,83.33333333,9,1,0,5
15,24,30,6,83.33333333,20,1,0,16
15,25,60,5,60,3,1,0,3
15,26,54,4,50,11,1,0,9
15,27,38,3,100,5,1,0,4
15,28,0,0,0,54,1,0,30
15,29,44,6,66.66666667,10,1,0,4
15,30,46,2,50,0,1,0,0
15,31,26,3,66.66666667,10,1,0,7
15,32,70,4,75,4,1,3,1
15,33,8,1,100,8,1,0,1
15,34,54,5,100,1,1,0,0
15,35,44,5,40,2,1,1,1
15,36,32,2,0,24,1,0,18
15,37,70,7,57.14285714,0,1,0,0
15,38,56,4,100,2,1,0,0
15,39,8,1,100,6,1,0,5
15,40,56,6,83.33333333,2,1,2,0
15,41,48,1,0,12,1,0,9
15,42,0,0,0,13,1,0,3
15,43,48,5,100,8,1,0,3
15,44,46,1,0,8,1,0,4
15,45,50,2,100,3,1,0,3
15,46,34,2,100,8,1,0,4
15,47,0,0,0,0,1,0,0
15,48,20,1,0,0,2,0,0
15,49,30,3,33.33333333,2,2,1,1
15,50,78,1,0,1,2,1,0
15,51,34,4,100,1,2,0,1
15,52,44,1,0,17,2,0,9
15,53,70,4,75,1,2,0,1
15,54,28,2,100,13,2,0,7
15,55,0,0,0,12,2,0,10
15,56,48,5,80,1,2,1,0
15,57,62,6,50,2,2,0,2
15,58,62,4,100,4,2,0,2
15,59,28,5,60,8,2,0,3
15,60,18,3,33.33333333,5,2,0,1
15,61,40,4,100,7,2,0,5
15,62,18,1,100,2,2,2,0
15,63,48,1,100,3,2,0,3
15,64,50,1,100,1,2,1,0
15,65,78,1,100,1,2,0,1
15,66,44,7,100,1,2,0,1
15,67,56,4,75,1,2,0,1
15,68,22,2,50,4,2,0,1
15,69,56,1,0,8,2,0,6
15,70,38,3,66.66666667,5,2,0,4
15,71,48,1,100,6,2,0,6
15,72,58,5,60,3,2,0,1
15,73,0,0,0,17,2,0,13
15,74,38,1,100,11,2,0,11
15,75,18,1,0,19,2,0,14
15,76,22,3,66.66666667,15,2,0,9
15,77,66,3,66.66666667,2,2,0,1
15,78,54,4,75,0,2,0,0
15,79,64,4,75,1,2,0,1
15,80,6,1,0,10,2,0,7
15,81,30,1,0,0,2,0,0
15,82,64,4,100,3,2,0,2
15,83,14,1,100,3,2,0,0
15,84,26,2,100,4,2,0,3
15,85,28,4,50,2,2,0,2
15,86,48,5,60,2,2,0,2
15,87,38,3,100,2,2,0,2
15,88,40,5,40,1,2,0,1
15,89,44,4,100,0,2,0,0
15,90,32,4,50,5,2,0,1
15,91,52,4,75,4,2,0,2
15,92,4,1,0,5,2,0,3
15,93,0,0,0,0,2,0,0
15,94,60,4,50,0,3,0,0
15,95,24,4,75,18,3,0,12
15,96,74,2,100,9,3,0,6
15,97,32,3,66.66666667,50,3,0,37
15,98,48,3,66.66666667,10,3,0,7
15,99,32,3,66.66666667,15,3,0,8
15,100,34,4,75,5,3,0,4
15,101,48,5,100,16,3,0,9
15,102,34,3,100,12,3,0,8
15,103,28,1,100,8,3,0,3
15,104,26,4,75,13,3,0,10
15,105,42,1,100,26,3,0,20
15,106,72,1,0,4,3,0,3
15,107,32,3,66.66666667,12,3,0,4
15,108,32,2,50,9,3,0,3
15,109,8,1,0,15,3,0,10
15,110,60,1,100,0,3,0,0
15,111,14,2,100,11,3,0,7
15,112,52,1,0,8,3,0,4
15,113,20,5,100,10,3,0,0
15,114,0,0,0,16,3,0,10
15,115,2,1,0,3,3,0,3
15,116,68,6,66.66666667,0,3,0,0
15,117,20,1,100,0,3,0,0
15,118,36,6,100,0,3,0,0
15,119,42,3,66.66666667,8,3,0,7
15,120,48,5,60,6,3,0,6
15,121,74,4,50,5,3,0,4
15,122,34,6,100,4,3,0,2
15,123,46,5,80,12,3,0,7
15,124,28,3,66.66666667,15,3,0,13
15,125,32,4,50,3,3,0,2
15,126,20,5,60,1,3,0,0
15,127,14,1,0,3,3,0,2
15,128,30,4,75,3,3,0,0
15,129,64,7,100,2,3,0,0
15,130,0,0,0,17,3,0,8
15,131,16,1,100,1,3,0,1
15,132,62,3,100,2,3,0,2
15,133,0,0,0,8,3,0,0
15,134,44,4,50,7,3,0,6
15,135,62,6,100,2,3,0,0
15,136,0,0,0,14,3,0,10
15,137,0,0,0,0,3,0,0
15,138,38,1,100,0,4,0,0
15,139,42,5,100,1,4,1,0
15,140,16,1,0,3,4,0,0
15,141,46,5,80,0,4,0,0
15,142,20,1,0,0,4,0,0
15,143,26,1,100,0,4,0,0
15,144,34,5,100,4,4,0,0
15,145,36,3,100,0,4,0,0
15,146,34,5,80,1,4,0,0
15,147,28,1,0,1,4,0,1
15,148,28,4,100,0,4,0,0
15,149,56,1,100,0,4,0,0
15,150,28,2,100,0,4,0,0
15,151,58,7,100,1,4,3,0
15,152,60,1,0,3,4,0,2
15,153,72,5,40,1,4,0,0
15,154,18,1,100,0,4,0,0
15,155,16,4,50,6,4,0,5
15,156,56,7,57.14285714,0,4,0,0
15,157,0,0,0,0,4,0,0
15,158,0,0,0,0,4,0,0
15,159,26,3,33.33333333,6,4,0,6
15,160,40,6,50,0,4,0,0
15,161,10,3,66.66666667,5,4,0,5
15,162,16,4,75,3,4,0,3
15,163,60,1,0,0,4,0,0
15,164,42,4,50,1,4,0,1
15,165,76,1,100,0,4,0,0
15,166,22,2,100,2,4,0,2
15,167,14,3,66.66666667,0,4,0,0
15,168,66,3,100,0,4,0,0
15,169,24,5,60,1,4,0,1
15,170,26,5,100,0,4,0,0
15,171,52,5,80,0,4,0,0
15,172,32,2,50,0,4,0,0
15,173,14,1,0,4,4,0,4
15,174,60,1,0,0,4,0,0
15,175,50,7,57.14285714,0,4,0,0
15,176,2,1,100,0,4,0,0
15,177,34,6,83.33333333,2,4,0,2
15,178,22,5,40,0,4,0,0
15,179,32,7,57.14285714,0,4,0,0
15,180,16,1,100,0,4,0,0
15,181,20,3,100,4,4,1,2
15,182,48,6,100,0,4,0,0
15,183,16,4,75,4,5,0,3
15,184,26,1,0,11,5,0,7
15,185,16,1,100,15,5,0,11
15,186,30,5,60,9,5,0,7
15,187,16,1,100,1,5,0,0
15,188,20,1,100,2,5,0,0
15,189,44,1,0,7,5,0,6
15,190,24,2,100,5,5,0,5
15,191,40,4,25,5,5,0,0
15,192,52,6,100,0,5,0,0
15,193,28,1,0,5,5,0,5
15,194,16,3,100,8,5,0,6
15,195,30,1,0,5,5,0,4
15,196,28,4,50,5,5,0,4
15,197,36,3,33.33333333,2,5,0,2
15,198,20,1,0,4,5,0,1
15,199,46,4,75,2,5,0,2
15,200,40,4,100,4,5,0,4
15,201,48,1,0,5,5,0,4
15,202,60,5,60,3,5,0,3
15,203,28,5,60,0,5,0,0
15,204,32,6,50,0,5,0,0
15,205,58,4,75,0,5,0,0
15,206,36,5,60,3,5,0,3
15,207,0,0,0,1,5,0,1
15,208,0,0,0,8,5,0,8
15,209,26,1,0,3,5,0,3
15,210,76,7,100,0,5,0,0
15,211,28,5,60,0,5,0,0
15,212,56,7,71.42857143,0,5,0,0
15,213,56,5,80,2,5,0,1
15,214,24,4,50,1,5,0,1
15,215,22,4,50,1,5,1,0
15,216,20,5,40,0,5,0,0
15,217,54,1,0,0,5,0,0
15,218,44,3,66.66666667,0,5,0,0
15,219,0,0,0,0,5,0,0
15,220,74,1,100,0,5,0,0
15,221,30,1,100,0,5,0,0
15,222,56,8,50,2,5,0,0
15,223,42,6,100,0,5,0,0
15,224,20,4,100,0,5,0,0
15,225,36,2,50,0,5,0,0
15,226,34,6,100,1,5,0,0
15,227,40,1,100,0,5,0,0
